Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,id,Battery_Capacity_kwh
"MG MG5 EV",7.7,185,295,165,340,"Front Wheel Drive",5,NULL,25095,128,49
"Volkswagen ID.4 Pro Performance",8.5,160,410,188,500,"Rear Wheel Drive",5,44450,41570,129,77
"Mercedes EQV 300 Extra-Long",12.1,160,320,281,280,"Front Wheel Drive",7,72281,NULL,130,90
"Lucid Air Grand Touring",3.2,270,660,167,1380,"All Wheel Drive",5,140000,125000,131,110
"Lucid Air Touring",3.4,250,530,160,1390,"All Wheel Drive",5,95000,90000,132,85
"Lucid Air Pure",4.2,200,540,157,1410,"Rear Wheel Drive",5,80000,70000,133,85
"Dacia Spring Electric",15.0,125,170,158,120,"Front Wheel Drive",4,20490,NULL,134,27
"Tesla Model 3 Standard Range Plus LFP",5.6,225,340,150,570,"Rear Wheel Drive",5,43560,40990,135,51
"Tesla Model 3 Long Range Dual Motor",4.4,233,455,154,570,"All Wheel Drive",5,NULL,48490,136,70
"Tesla Model 3 Performance",3.3,261,470,162,790,"All Wheel Drive",5,58560,59990,137,76
"Fiat 500e Hatchback 24 kWh",9.5,135,165,144,260,"Front Wheel Drive",4,23560,20495,138,24
"Fiat 500e 3+1",9.0,150,245,152,410,"Front Wheel Drive",4,29560,NULL,139,37
"Mercedes EQC 400 4MATIC",5.1,180,370,216,440,"All Wheel Drive",5,66069,65720,140,80
"Kia e-Niro 64 kWh",7.8,167,370,173,350,"Front Wheel Drive",5,39090,32445,141,64
"Kia e-Niro 39 kWh",9.8,155,235,167,230,"Front Wheel Drive",5,35290,30345,142,39
"CUPRA Born 170 kW - 62 kWh",6.6,160,345,168,430,"Rear Wheel Drive",5,39000,31500,143,58
"Citroen e-SpaceTourer XS 50 kWh",12.1,130,185,243,250,"Front Wheel Drive",7,50880,NULL,144,45
"CUPRA Born 170 kW - 82 kWh",7.0,160,450,171,550,"Rear Wheel Drive",5,43000,42000,145,77
"Citroen e-SpaceTourer M 50 kWh",12.1,130,185,243,250,"Front Wheel Drive",7,51440,31995,146,45
"Citroen e-SpaceTourer XL 50 kWh",12.1,130,180,250,240,"Front Wheel Drive",7,52230,NULL,147,45
"Citroen e-SpaceTourer M 75 kWh",13.3,130,270,252,290,"Front Wheel Drive",7,57440,NULL,148,68
"Citroen e-SpaceTourer XL 75 kWh",13.3,130,270,252,290,"Front Wheel Drive",7,58230,NULL,149,68
"BMW i4 M50",3.9,225,450,179,630,"All Wheel Drive",5,69900,63905,150,81
"Opel Zafira-e Life S 50 kWh",12.1,130,185,243,250,"Front Wheel Drive",7,56700,NULL,151,45
"Opel Zafira-e Life M 50 kWh",12.1,130,185,243,250,"Front Wheel Drive",7,53800,NULL,152,45
"Opel Zafira-e Life L 50 kWh",12.1,130,180,250,240,"Front Wheel Drive",7,54625,49465,153,45
"Opel Zafira-e Life M 75 kWh",13.3,130,270,252,290,"Front Wheel Drive",7,59800,NULL,154,68
"Opel Zafira-e Life L 75 kWh",13.3,130,270,252,290,"Front Wheel Drive",7,60625,NULL,155,68
"Volvo XC40 Recharge Twin Pure Electric",4.9,180,340,221,440,"All Wheel Drive",5,59250,49950,156,75
"Renault Megane E-Tech Electric",8.0,160,335,179,480,"Front Wheel Drive",5,38000,32500,157,60
"Peugeot e-Rifter Standard 50 kWh",11.7,135,200,225,270,"Front Wheel Drive",7,37590,30375,158,45
"Peugeot e-Rifter Long 50 kWh",11.7,135,195,231,260,"Front Wheel Drive",7,42590,32455,159,45
