region,address,"aux addres",latitude,longitude,type,power,service,id
SDMC,"J-Block, Malviya Nagar, parking New Delhi","Electric Vehicle Charger, J-Block, Malviya Nagar, parking New Delhi",28.583686,77.080200,DC-001,15,"Self Service",96
"NOIDA AUTHORITY","Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301","Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301",28.572150,77.337546,DC-001,15,"Self Service",97
"NOIDA AUTHORITY","Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India",28.582120,77.326699,DC-001,15,"Self Service",98
SDMC,"Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi","Electric Vehicle Charger, Veer Savarkar Marg, Lajpat Nagar, SDMC parking New Delhi",28.571886,77.242384,DC-001,15,"Self Service",99
SDMC,"Meharchand Market, New Delhi","Electric Vehicle Charger, Meharchand Market, New Delhi",28.588111,77.217556,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",100
"NOIDA AUTHORITY","Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","Electric Vehicle Charger, Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India",28.626582,77.375216,DC-001,15,"Self Service",101
SDMC,"Feroze Gandhi Road, Lajpat Nagar, SDMC parking New Delhi","Electric Vehicle Charger, Feroze Gandhi Road, Lajpat Nagar, SDMC parking New Delhi",28.642892,77.219089,DC-001,15,"Self Service",102
SDMC,"RK Puram Sector 12 Market","Electric Vehicle Charger, RK Puram Sector 12 Market",28.574303,77.176555,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",103
SDMC,"Meharchand Market, SDMC parking, New Delhi","Electric Vehicle Charger, Meharchand Market, SDMC parking, New Delhi",28.586018,77.227942,DC-001,15,"Self Service",104
"NOIDA AUTHORITY","road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313","Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313",28.548194,77.322194,DC-001,15,"Self Service",105
"NOIDA AUTHORITY","Between kirti mann plaza and NMC hospital Sector 30 Noida","Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida",28.572798,77.340531,DC-001,15,"Self Service",106
"NOIDA AUTHORITY","Sector 142, Noida, Uttar Pradesh, 201305","Electric Vehicle Charger, Sector 142, Noida, Uttar Pradesh, 201305",28.626582,77.375216,DC-001,15,"Self Service",107
SDMC,"EESL H-Block, Sarita Vihar, SDMC parking New Delhi","Electric Vehicle Charger, EESL H-Block, Sarita Vihar, SDMC parking New Delhi",28.534966,77.291393,DC-001,15,"Self Service",108
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",109
SDMC,"EESL, Plot 81-85, Nehru Place, SDMC Parking, New Delhi","Electric Vehicle Charger, EESL, Plot 81-85, Nehru Place, SDMC Parking, New Delhi",28.548871,77.254106,DC-001,15,"Self Service",110
NDMC,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001","Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001",28.617783,77.212996,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",111
NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.590711,77.224284,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",112
NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.590711,77.224284,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",113
